Order_ID,Restaurant_Name,City,Delivery_Time,Distance,Cost,Rating,Order_Date,Order_Month,Order_day
158,Quickeats,Mumbai,73,7.16,220,3,27/03/2024,3,27
159,Spice Hub,Chennai,51,10.46,399,2,21/06/2024,6,21
160,Tasty Bites,Mumbai,52,5.46,319,1.5,24/05/2024,5,24
161,Tasty Bites,Mumbai,18,2.59,967,1.8,06/09/2024,9,6
162,Spice Hub,Kolkata,23,9.61,900,1.4,02/02/2024,2,2
163,Quickeats,Delhi,13,4.14,193,2.1,16/11/2024,11,16
164,Spice Hub,Bangalore,11,10.54,391,5,27/05/2024,5,27
165,Tasty Bites,Delhi,10,12.75,252,2.6,12/07/2024,7,12
166,Foodies,Chennai,74,2.73,624,4.5,05/05/2024,5,5
167,Urban Kitchen,Delhi,55,7.13,818,3.2,08/05/2024,5,8
168,Tasty Bites,Mumbai,68,7.23,866,3.7,11/06/2024,6,11
169,Spice Hub,Chennai,16,9.86,521,1.6,08/05/2024,5,8
170,Urban Kitchen,Delhi,75,5.68,257,2.1,19/06/2024,6,19
171,Spice Hub,Chennai,24,6.86,369,3,20/11/2024,11,20
172,Spice Hub,Bangalore,56,1.17,917,4.5,15/03/2024,3,15
173,Foodies,Delhi,49,2.71,679,1.2,12/09/2024,9,12
174,Urban Kitchen,Mumbai,51,8.98,356,3,03/08/2024,8,3
175,Urban Kitchen,Chennai,60,4.02,800,1.2,18/08/2024,8,18
176,Foodies,Kolkata,44,3.02,614,2.8,24/08/2024,8,24
177,Tasty Bites,Chennai,50,5.54,336,3.5,05/04/2024,4,5
178,Spice Hub,Kolkata,66,3.29,544,4,01/07/2024,7,1
179,Quickeats,Mumbai,47,1.83,743,1.6,30/04/2024,4,30
180,Spice Hub,Bangalore,17,4.97,270,1.7,13/07/2024,7,13
181,Spice Hub,Kolkata,72,3.3,369,2.9,06/09/2024,9,6
182,Tasty Bites,Bangalore,13,12.19,700,5,20/04/2024,4,20
183,Spice Hub,Chennai,57,1.88,714,2.4,12/03/2024,3,12
184,Foodies,Mumbai,61,11.46,736,2.7,21/02/2024,2,21
185,Foodies,Kolkata,47,6.36,166,2.7,03/06/2024,6,3
186,Urban Kitchen,Chennai,14,10.45,874,1.3,15/11/2024,11,15
187,Quickeats,Delhi,79,1.74,107,3,27/10/2024,10,27
188,Spice Hub,Chennai,33,13.89,655,2,13/07/2024,7,13
189,Spice Hub,Bangalore,26,11.74,547,3.8,26/01/2024,1,26
190,Tasty Bites,Mumbai,35,2.96,234,2.9,14/08/2024,8,14
191,Foodies,Mumbai,12,4.06,859,3.4,27/07/2024,7,27
192,Quickeats,Chennai,11,10.02,915,1.2,08/08/2024,8,8
193,Urban Kitchen,Delhi,11,13.9,929,4.6,29/11/2024,11,29
194,Foodies,Bangalore,31,7.24,124,2,12/10/2024,10,12
195,Urban Kitchen,Chennai,13,7.8,564,3.7,09/09/2024,9,9
196,Tasty Bites,Chennai,47,4.33,473,4.2,11/04/2024,4,11
197,Tasty Bites,Mumbai,79,6.36,295,3.2,21/09/2024,9,21
198,Spice Hub,Bangalore,61,5,803,2.3,24/06/2024,6,24
199,Quickeats,Delhi,40,5.91,980,4.9,17/12/2024,12,17
200,Urban Kitchen,Mumbai,35,1.29,501,2.1,02/07/2024,7,2
201,Foodies,Chennai,45,1.57,221,4.8,19/11/2024,11,19
202,Tasty Bites,Mumbai,35,10.53,871,1.6,11/07/2024,7,11
203,Spice Hub,Mumbai,37,10.55,658,2.6,10/12/2024,12,10
204,Spice Hub,Kolkata,14,5.62,985,1.6,13/07/2024,7,13
205,Urban Kitchen,Mumbai,27,13.4,308,1,21/01/2024,1,21
206,Tasty Bites,Mumbai,24,4.73,400,2,29/11/2024,11,29
207,Quickeats,Bangalore,66,6.54,700,1.3,12/10/2024,10,12
208,Tasty Bites,Mumbai,14,11.24,614,4.9,26/02/2024,2,26
209,Urban Kitchen,Delhi,46,11.41,756,4,24/02/2024,2,24
210,Urban Kitchen,Chennai,31,13.06,985,1,02/01/2024,1,2
211,Tasty Bites,Bangalore,61,1.41,633,1.9,30/10/2024,10,30
212,Urban Kitchen,Mumbai,24,3.57,138,3.7,22/01/2024,1,22
213,Tasty Bites,Delhi,26,9.97,551,2.6,20/05/2024,5,20
214,Foodies,Chennai,60,5.73,718,4.3,29/03/2024,3,29
215,Tasty Bites,Bangalore,54,1.61,711,3,25/10/2024,10,25
216,Tasty Bites,Delhi,72,9.21,883,3.6,15/03/2024,3,15
217,Urban Kitchen,Mumbai,37,6.5,840,3.4,14/03/2024,3,14
218,Urban Kitchen,Kolkata,68,6.1,985,3.6,31/10/2024,10,31
219,Spice Hub,Kolkata,30,4.7,896,1.9,23/08/2024,8,23
220,Spice Hub,Bangalore,51,1.08,305,2.5,13/06/2024,6,13
221,Foodies,Delhi,78,3.55,682,1.2,04/08/2024,8,4
222,Spice Hub,Chennai,26,7.64,780,3.4,29/12/2024,12,29
223,Tasty Bites,Delhi,77,4.86,796,2.8,17/10/2024,10,17
224,Urban Kitchen,Kolkata,16,13.24,511,4,19/01/2024,1,19
225,Spice Hub,Bangalore,49,3,432,1.8,10/10/2024,10,10
226,Spice Hub,Mumbai,49,13.25,307,2.7,27/12/2024,12,27
227,Foodies,Delhi,52,6.67,504,1.7,06/07/2024,7,6
228,Foodies,Kolkata,60,4.86,487,3.5,17/05/2024,5,17
229,Tasty Bites,Chennai,32,5.26,586,4.4,30/11/2024,11,30
230,Urban Kitchen,Bangalore,41,5.62,481,4.1,17/12/2024,12,17
231,Foodies,Mumbai,40,8.09,966,4.8,06/10/2024,10,6
232,Spice Hub,Delhi,26,5.95,983,4.9,20/07/2024,7,20
233,Urban Kitchen,Chennai,67,10.06,551,4.1,06/06/2024,6,6
234,Urban Kitchen,Mumbai,44,6.95,536,2.1,20/08/2024,8,20
235,Spice Hub,Kolkata,39,10.4,957,1.9,24/04/2024,4,24
236,Foodies,Kolkata,73,9.46,529,2.8,12/08/2024,8,12
237,Spice Hub,Chennai,62,4.42,746,5,14/02/2024,2,14
238,Urban Kitchen,Kolkata,60,12.38,757,2.7,04/08/2024,8,4
239,Quickeats,Bangalore,46,12.19,444,1.8,27/04/2024,4,27
240,Quickeats,Chennai,15,14.85,248,4.8,11/11/2024,11,11
241,Tasty Bites,Kolkata,43,3.45,727,2.5,04/11/2024,11,4
242,Spice Hub,Delhi,65,12.87,491,3.8,24/12/2024,12,24
243,Spice Hub,Kolkata,34,13.21,286,4.2,07/10/2024,10,7
244,Tasty Bites,Bangalore,22,9.99,119,4.4,11/04/2024,4,11
245,Tasty Bites,Mumbai,72,8.09,437,4.3,11/05/2024,5,11
246,Tasty Bites,Mumbai,75,14.4,472,4.3,13/12/2024,12,13
247,Urban Kitchen,Kolkata,14,14.62,855,3.7,30/07/2024,7,30
248,Spice Hub,Mumbai,20,9.98,166,2.6,20/07/2024,7,20
249,Urban Kitchen,Kolkata,53,6.03,538,3.7,13/10/2024,10,13
250,Tasty Bites,Unknown,78,12.44,161,4.3,26/05/2024,5,26
251,Spice Hub,Mumbai,11,2.25,585,2.4,14/09/2024,9,14
252,Urban Kitchen,Delhi,49,5.07,885,2.2,16/09/2024,9,16
253,Urban Kitchen,Kolkata,46,14.8,958,2.4,30/11/2024,11,30
254,Tasty Bites,Mumbai,58,12.4,721,3.2,20/10/2024,10,20
255,Spice Hub,Bangalore,45,14.15,667,1.2,02/02/2024,2,2
256,Tasty Bites,Bangalore,79,9.33,184,4.1,18/01/2024,1,18
257,Spice Hub,Delhi,43,6.71,505,1.6,25/12/2024,12,25
258,Quickeats,Bangalore,67,14.72,875,1.5,08/06/2024,6,8
259,Foodies,Bangalore,46,5.33,494,1.8,24/04/2024,4,24
260,Foodies,Mumbai,69,11.6,718,3.3,26/07/2024,7,26
261,Foodies,Kolkata,21,8.81,623,2.1,09/06/2024,6,9
262,Tasty Bites,Chennai,41,4.2,275,2.5,16/10/2024,10,16
263,Quickeats,Bangalore,13,1.24,458,4.7,02/11/2024,11,2
264,Spice Hub,Bangalore,42,6.37,930,4.4,14/11/2024,11,14
265,Urban Kitchen,Chennai,52,8.67,638,4.4,16/02/2024,2,16
266,Spice Hub,Bangalore,18,3.56,390,3.3,21/02/2024,2,21
267,Urban Kitchen,Unknown,60,6.8,229,4.5,14/12/2024,12,14
268,Spice Hub,Mumbai,29,9.61,838,4.1,21/02/2024,2,21
269,Quickeats,Chennai,48,11.01,578,4.8,19/06/2024,6,19
270,Urban Kitchen,Bangalore,32,1.74,747,1.3,15/04/2024,4,15
271,Tasty Bites,Bangalore,50,10.3,631,1.1,07/04/2024,4,7
272,Spice Hub,Kolkata,53,1.79,363,1.7,27/07/2024,7,27
273,Spice Hub,Bangalore,44,1.39,935,4.7,10/05/2024,5,10
274,Urban Kitchen,Mumbai,32,3.13,770,3.4,09/08/2024,8,9
275,Tasty Bites,Delhi,67,10.15,602,2.7,10/08/2024,8,10
276,Tasty Bites,Delhi,57,1.74,259,3.1,10/11/2024,11,10
277,Quickeats,Unknown,67,1.29,953,4.3,06/05/2024,5,6
278,Tasty Bites,Delhi,66,2.65,637,4.7,20/11/2024,11,20
279,Tasty Bites,Bangalore,48,14.3,180,3.9,05/05/2024,5,5
280,Tasty Bites,Bangalore,37,13.7,512,4,09/05/2024,5,9
281,Foodies,Kolkata,73,2.21,574,2.3,14/07/2024,7,14
282,Quickeats,Bangalore,71,5.26,987,2.9,13/02/2024,2,13
283,Spice Hub,Delhi,71,14.26,117,4.5,20/10/2024,10,20
284,Urban Kitchen,Chennai,35,2.37,168,4.1,06/07/2024,7,6
285,Spice Hub,Chennai,60,2.32,229,3.7,31/08/2024,8,31
286,Quickeats,Mumbai,59,2.2,746,1.3,31/03/2024,3,31
287,Urban Kitchen,Mumbai,45,14.67,914,1.2,15/01/2024,1,15
288,Quickeats,Bangalore,35,11.4,990,1.5,30/06/2024,6,30
289,Tasty Bites,Chennai,42,4,829,3.3,14/11/2024,11,14
290,Urban Kitchen,Delhi,77,1.64,409,3.1,02/03/2024,3,2
291,Tasty Bites,Delhi,17,14.51,586,4.8,18/03/2024,3,18
292,Spice Hub,Delhi,75,6.96,114,3.8,30/09/2024,9,30
293,Spice Hub,Bangalore,32,9.38,595,2.2,07/09/2024,9,7
294,Urban Kitchen,Bangalore,79,4.91,551,1.6,11/03/2024,3,11
295,Urban Kitchen,Kolkata,64,11.62,516,4.4,24/01/2024,1,24
296,Quickeats,Delhi,52,3.76,806,2.8,20/10/2024,10,20
297,Quickeats,Delhi,30,12.02,802,3.6,13/05/2024,5,13
298,Tasty Bites,Bangalore,31,4.23,845,3.3,02/09/2024,9,2
299,Urban Kitchen,Bangalore,18,2.37,531,1.4,20/07/2024,7,20
300,Spice Hub,Kolkata,43,7.7,165,1.2,22/01/2024,1,22
301,Quickeats,Unknown,68,12.39,180,2.5,09/06/2024,6,9
302,Quickeats,Mumbai,35,6.39,135,2.4,02/08/2024,8,2
303,Spice Hub,Chennai,10,1.4,846,3.7,15/02/2024,2,15
304,Quickeats,Delhi,14,8.75,116,3.5,14/04/2024,4,14
305,Tasty Bites,Delhi,50,10.53,613,4.9,18/06/2024,6,18
306,Urban Kitchen,Kolkata,72,11.37,132,4.4,25/03/2024,3,25
307,Spice Hub,Kolkata,31,6.63,448,3,07/11/2024,11,7
308,Urban Kitchen,Mumbai,77,2.36,479,3,17/03/2024,3,17
309,Quickeats,Chennai,57,9.18,607,3.7,11/02/2024,2,11
310,Quickeats,Mumbai,75,5.61,745,1.5,13/01/2024,1,13
311,Spice Hub,Chennai,25,14.26,967,5,05/11/2024,11,5
312,Tasty Bites,Delhi,62,8.04,955,3.1,17/10/2024,10,17
313,Foodies,Mumbai,74,7.61,366,4.6,04/12/2024,12,4
314,Spice Hub,Kolkata,73,5.33,616,4.9,09/01/2024,1,9
315,Foodies,Mumbai,77,5.74,897,3,13/01/2024,1,13
316,Foodies,Mumbai,72,8.18,551,1.4,22/01/2024,1,22
317,Tasty Bites,Delhi,71,5.29,446,3.3,09/02/2024,2,9
318,Foodies,Kolkata,54,13.49,702,3.4,06/05/2024,5,6
319,Foodies,Kolkata,61,7.15,763,4.2,17/06/2024,6,17
320,Tasty Bites,Bangalore,74,5.09,542,1.2,19/09/2024,9,19
321,Foodies,Bangalore,11,3.18,477,2.9,09/08/2024,8,9
322,Foodies,Bangalore,58,10.41,729,4.7,10/08/2024,8,10
323,Foodies,Delhi,31,1.36,672,5,06/11/2024,11,6
324,Spice Hub,Mumbai,38,7.3,457,1.8,30/04/2024,4,30
325,Spice Hub,Kolkata,44,8.7,637,4.5,09/08/2024,8,9
326,Spice Hub,Kolkata,33,5.76,720,1.6,19/03/2024,3,19
327,Tasty Bites,Mumbai,39,11.5,979,4.4,08/04/2024,4,8
328,Quickeats,Unknown,51,10.46,906,2.1,22/08/2024,8,22
329,Foodies,Mumbai,59,14.6,309,4.8,04/07/2024,7,4
330,Foodies,Delhi,69,8.12,870,3.8,05/10/2024,10,5
331,Tasty Bites,Delhi,39,8.53,905,2.6,29/06/2024,6,29
332,Foodies,Delhi,21,4.44,141,2.1,19/10/2024,10,19
333,Spice Hub,Mumbai,58,6.4,915,1.9,02/10/2024,10,2
334,Quickeats,Mumbai,55,1.38,112,3.7,23/08/2024,8,23
335,Urban Kitchen,Chennai,52,10.65,700,4.6,25/05/2024,5,25
336,Foodies,Kolkata,11,5.36,699,4,08/03/2024,3,8
337,Spice Hub,Kolkata,63,8.57,923,4.3,28/10/2024,10,28
338,Urban Kitchen,Chennai,44,4.57,588,4.1,24/06/2024,6,24
339,Quickeats,Chennai,61,9.69,286,4.9,20/01/2024,1,20
340,Urban Kitchen,Delhi,42,7.27,162,4,12/03/2024,3,12
341,Spice Hub,Chennai,60,7.75,435,1.8,14/04/2024,4,14
342,Urban Kitchen,Mumbai,35,14.2,654,4.2,25/12/2024,12,25
343,Tasty Bites,Bangalore,71,10.89,844,2.3,07/01/2024,1,7
344,Urban Kitchen,Mumbai,70,4.67,845,5,01/11/2024,11,1
345,Foodies,Chennai,35,8.05,551,2.5,22/02/2024,2,22
346,Foodies,Kolkata,46,7.53,864,2.2,24/11/2024,11,24
347,Tasty Bites,Mumbai,39,12.13,924,2,23/09/2024,9,23
348,Spice Hub,Kolkata,20,12.67,248,3.6,22/07/2024,7,22
349,Foodies,Mumbai,62,4.97,793,1.4,01/02/2024,2,1
350,Quickeats,Kolkata,50,12.5,306,4.8,09/07/2024,7,9
351,Foodies,Mumbai,14,3.51,792,2.2,01/07/2024,7,1
352,Foodies,Kolkata,75,11.68,784,2.2,05/07/2024,7,5
353,Spice Hub,Bangalore,22,4.48,340,1.2,14/11/2024,11,14
354,Urban Kitchen,Delhi,72,5.17,775,2,02/06/2024,6,2
355,Foodies,Mumbai,34,12.93,674,2.7,20/02/2024,2,20
356,Tasty Bites,Bangalore,53,6.88,993,2.5,15/10/2024,10,15
357,Urban Kitchen,Delhi,23,14.87,334,2.1,26/01/2024,1,26
358,Quickeats,Mumbai,78,3.13,224,1.2,04/10/2024,10,4
359,Spice Hub,Bangalore,68,7.49,356,2.2,16/12/2024,12,16
360,Quickeats,Bangalore,65,11.25,191,4.1,29/11/2024,11,29
361,Urban Kitchen,Bangalore,61,1.08,836,2.8,28/07/2024,7,28
362,Urban Kitchen,Chennai,75,3.13,806,2.2,09/09/2024,9,9
363,Urban Kitchen,Kolkata,77,1.28,986,2.2,25/12/2024,12,25
364,Quickeats,Delhi,21,14.9,306,3.2,09/07/2024,7,9
365,Urban Kitchen,Kolkata,77,11.65,516,2.2,24/05/2024,5,24
366,Quickeats,Kolkata,52,6.23,387,3.5,10/02/2024,2,10
367,Urban Kitchen,Kolkata,15,3.19,314,5,16/03/2024,3,16
368,Tasty Bites,Bangalore,24,2.27,797,1.2,21/10/2024,10,21
369,Urban Kitchen,Kolkata,51,8.45,737,1.7,09/06/2024,6,9
370,Quickeats,Chennai,40,14.66,893,1.7,14/10/2024,10,14
